Subject,Condition,Speed,Target,Balance,n_samples,Comp1,Comp2,Comp3,Comp4,Comp5
BMH01,s0a0b0,0,0,0,13200,-1.6259647465380915,-5.178856185193022,-2.2279113410469895,0.6317440011439327,-0.4183679783622043
BMH01,s0a0b1,0,0,1,12500,0.818789064794604,-5.252398317080182,-0.20242494885027962,-0.37984996650345104,-1.6692408124437033
BMH01,s0a0b2,0,0,2,12700,-2.4160434427326862,-5.017923720444348,-2.8521298669241326,0.9360425646897866,-0.9841072864672975
BMH01,s0a1b0,0,1,0,13200,-1.7603550282162868,-1.4820130389241077,-2.3637263917311544,-0.3729737231727388,0.6019129946747279
BMH01,s0a1b1,0,1,1,11400,-1.576281543559246,-0.9249562448257991,-1.8778655102377426,-0.6110131387525997,0.2786707033594975
BMH01,s0a1b2,0,1,2,15000,-0.25794282993948614,0.9306387673221082,1.9004128233250388,0.33713539376555146,0.9654907325017299
BMH01,s0a2b0,0,2,0,12800,2.8107777901949844,3.092781771568367,3.8347135002208743,0.6171267033732225,2.059372866444706
BMH01,s0a2b1,0,2,1,13400,-1.0443412158543048,2.0087245955843076,0.942357812849149,1.3190723743836588,0.5213751145170169
BMH01,s1a0b0,1,0,0,12200,-1.6478532653505598,-2.6095409235283515,-2.552337023621728,0.5375816309220122,-0.8628398302983531
BMH01,s1a0b1,1,0,1,12100,-1.053280440052968,-2.2581414544851315,-1.7783211274903228,-0.09303678481208878,-1.3443220990754516
BMH01,s1a0b2,1,0,2,12300,-1.3331616058705684,-3.374877205182178,-1.998791799552536,0.5951947017921154,-1.0922258654313943
BMH01,s1a1b0,1,1,0,11700,-1.1597565222020394,-0.28535999609894186,-1.2805170237406809,-0.8605315575802013,-0.04279156521686306
BMH01,s1a1b1,1,1,1,11700,1.2064027961327612,0.00906794501641566,1.770942480039947,-0.44019170917104183,0.8481217376011537
BMH01,s1a1b2,1,1,2,13100,-0.7178381485620055,1.5125988405389172,1.3093457160507194,0.048650488197684034,0.06418733255375694
BMH01,s1a2b0,1,2,0,12800,-0.8972386796932237,0.7762823891058224,-0.5587577063839749,0.9299849029401623,0.9923828533828697
BMH01,s1a2b1,1,2,1,13200,-1.3004539255067544,6.509769200423017,-4.950509099512228,0.6206319091160802,-0.09398701048413803
BMH01,s1a2b2,1,2,2,15800,-1.8418871792930565,2.740154177603522,0.9310518118016721,0.981017940354617,1.0922448634596853
BMH01,s2a0b0,2,0,0,12200,0.292909590513332,-0.6210240058362559,-0.7969532967638233,-0.6444175824693307,-1.2977050692964267
BMH01,s2a0b1,2,0,1,11200,0.6140509904588183,0.46248203563147544,-3.526662692409758,-0.23810802466537082,-0.45445783766877607
BMH01,s2a0b2,2,0,2,9200,1.3623509120600779,-1.3999327558553065,0.2817979886492579,-1.18065687246098,-0.8931073651631951
BMH01,s2a1b0,2,1,0,11900,3.2626892776872207,-0.318741731238943,2.4108070508205977,-1.1986155125461309,0.46098313663097124
BMH01,s2a1b1,2,1,1,11700,1.4964201647863657,-0.9818147966908863,2.012566424118743,-1.8427155616611288,-0.9523808665998945
BMH01,s2a1b2,2,1,2,11400,0.23085973319276543,1.3480728326355693,0.3344799309203783,-0.8193307422626404,-0.3809409839916334
BMH01,s2a2b0,2,2,0,12100,3.65938433715652,2.8660103316468275,3.6340378560162687,0.050329145796399126,0.6722703947134315
BMH01,s2a2b1,2,2,1,11900,3.214072800391057,3.595703850538259,3.785350756528427,-0.051759869945815336,0.8151599187595949
BMH01,s2a2b2,2,2,2,12900,1.2700479910523208,2.328361245174182,3.4304909015635308,-0.11077659669175827,0.1925242192430645
BMH02,s0a0b0,0,0,0,12400,-1.4423123612883384,-2.7835405484162266,0.0018566333119802642,-0.8490171748890952,-0.1911268161469854
BMH02,s0a0b1,0,0,1,16900,-1.1327746445292612,-0.09406642470811809,0.7347983351481652,-0.839317193478063,-0.3136518833576799
BMH02,s0a0b2,0,0,2,16300,-1.516867549538165,-1.4151540664334532,0.1695138522131057,-0.2515696611173196,-0.32002956490573536
BMH02,s0a1b0,0,1,0,13800,-0.65494884853664,-1.1806814302662019,0.2856667949924948,-0.15293075400314815,-0.22197049755363282
