Subject,Condition,Speed,Target,Balance,n_samples,Comp1,Comp2,Comp3,Comp4,Comp5
BMH06,s1a2b2,1,2,2,1,-40.46595634220896,19.9819046823628,40.12788844793237,1.9294769405017405,14.722928399980024
BMH06,s2a0b0,2,0,0,1,36.686038437429424,82.14748256113026,-14.34371295123188,4.508500068790729,5.567268149477395
BMH06,s2a0b1,2,0,1,1,50.83390177697167,67.796079445614,16.328716932304157,-3.866970958733146,0.569003130376199
BMH06,s2a0b2,2,0,2,1,49.678813259351486,32.99679388617728,-1.1210578375672153,-11.568681399860331,-10.710122470226587
BMH06,s2a1b0,2,1,0,1,-40.630187914419274,-11.30080604422298,-19.32047446067139,8.659426163019917,-9.179573424714178
BMH06,s2a1b1,2,1,1,1,-60.95932019428358,7.792531236254682,-18.220203650878318,-15.513968015055127,-16.52331926934821
BMH06,s2a1b2,2,1,2,1,-42.62268206512972,15.156162643358524,31.05093886585903,-9.990752832646018,-14.124277488752398
BMH06,s2a2b0,2,2,0,1,-44.07632778599367,-11.362259043238968,-17.278556674080296,3.5044659736295647,-12.847573195793881
BMH06,s2a2b1,2,2,1,1,-89.20193415866945,-5.633704824098962,-20.56086702812266,-22.89325322210637,14.139826721037508
BMH06,s2a2b2,2,2,2,1,74.70652857126443,-21.269547415174124,0.29533989518579934,24.31418379483542,-0.14024065450262893
BMH07,s0a0b0,0,0,0,1,157.27468363891742,-41.97947099778841,-36.003581111587415,-9.439448206022496,3.3402206515484805
BMH07,s0a0b1,0,0,1,1,160.05786806308038,-41.26303019143357,-38.304727465637534,-14.30566058591694,-3.487455890967851
BMH07,s0a0b2,0,0,2,1,165.2753732325067,-65.91147307459765,4.106301081771913,-25.12278878124161,8.774994334133828
BMH07,s0a1b0,0,1,0,1,-67.14105560086371,-6.480763305699276,-22.35888989509218,19.32591022317049,3.2629486175276323
BMH07,s0a1b1,0,1,1,1,-81.1090732517569,-45.62818367205721,3.170451494470317,25.05376725273935,-2.954508146521368
BMH07,s0a1b2,0,1,2,1,-80.63511749550025,-110.12177766230998,31.124198337121925,34.971652432801065,-25.259603915892786
BMH07,s0a2b0,0,2,0,1,-97.16537985710963,-24.580239409713037,-37.68759260816345,10.27403653497318,-7.995213707976984
BMH07,s0a2b1,0,2,1,1,-68.51181132392453,14.49678034413941,-2.571437197683759,-20.07018698527443,2.207264659800621
BMH07,s0a2b2,0,2,2,1,-79.10337230452491,-14.30656858684214,18.735680588592245,-3.667100286798217,-3.598316855752396
