Subject,Condition,Speed,Target,Balance,n_samples,Comp1,Comp2,Comp3,Comp4,Comp5
BMH01,s0a0b0,0,0,0,5800,-6.475415689127732,-2.569031701267355,-4.676942999571893,1.3355668656091935,-1.1548561658906724
BMH01,s0a0b1,0,0,1,5600,-6.30698832878056,-1.704733340711082,-2.8122697224692574,1.3350508716758662,-1.4624137310945462
BMH01,s0a0b2,0,0,2,5800,-6.536101612565567,-2.253746612171651,-4.1761204670994205,1.3085958382082687,-1.9358518400471352
BMH01,s0a1b0,0,1,0,4600,-3.427104446215839,-0.6949365560928247,-0.8407027849491676,-1.6411868042454894,1.0738946750233525
BMH01,s0a1b1,0,1,1,4500,-2.2071108976891045,-0.4713516679431366,-0.32315195831789983,-1.6711756233732222,1.018761803763858
BMH01,s0a1b2,0,1,2,4500,2.7723576412000788,1.3133743242760738,2.878056388082805,-2.7829889489039847,0.6287275738823467
BMH01,s0a2b0,0,2,0,5700,0.09187759827165612,-0.12546114106911485,-0.8331100341482472,2.710195105603315,2.354109282413228
BMH01,s0a2b1,0,2,1,4300,6.521013634408562,2.400054094694606,4.631428662042176,-2.7296703140155065,-0.6889250319377944
BMH01,s1a0b0,1,0,0,5600,-4.662461435124055,-1.6983359091589942,-4.119252001226012,2.711047173112672,-0.9115518535626631
BMH01,s1a0b1,1,0,1,5600,-3.9432171282853172,-1.107452575020107,-3.782742521820129,2.6025369377280363,0.18875585231690106
BMH01,s1a0b2,1,0,2,5700,-4.452555165918694,-1.6134860781826328,-3.950820587140699,2.6938280297256516,-0.3130537139678784
BMH01,s1a1b0,1,1,0,5600,-1.4498980992330002,-0.3232226623983127,-0.4587733955092031,-0.20748225067536294,1.13628986170015
BMH01,s1a1b1,1,1,1,4000,1.322728182638086,0.2575694784389956,1.8654118944423412,-2.1969033538075795,-0.19008187407992852
BMH01,s1a1b2,1,1,2,4200,2.2878499034673476,1.0713831694258609,2.4446737087816706,-2.15493320037858,1.1195918114955767
BMH01,s1a2b0,1,2,0,4400,6.164844061260072,2.6489485200000047,4.6266671010388185,-3.5388863842035363,-2.6806826758022746
BMH01,s1a2b1,1,2,1,4100,6.728509987579611,2.463391287663038,4.894978008438957,-2.666561106478249,-0.17961815640595816
BMH01,s1a2b2,1,2,2,4400,8.309108782624042,3.657787400391953,5.596569933064053,-2.8008576481061174,0.4738417978604147
BMH01,s2a0b0,2,0,0,5400,-2.830022896697467,-0.2839539673692198,-3.2750840163240804,3.059604964696675,1.7867687832581605
BMH01,s2a0b1,2,0,1,5200,-3.1023982504897045,0.3159855494957927,-3.307914479282473,3.959257073971974,1.7411281407991699
BMH01,s2a0b2,2,0,2,4100,-1.2997261547781627,0.06924139181508124,-1.8974922480044403,2.670023260491012,0.7270501306359698
BMH01,s2a1b0,2,1,0,5600,0.8505517187172985,-0.5102899977699685,0.699327921655913,-0.005777821346520372,0.39055198634076765
BMH01,s2a1b1,2,1,1,5200,-1.3602818157997212,-0.7019291085669728,-0.9332129795021695,0.5215428818644319,1.39773405245223
BMH01,s2a1b2,2,1,2,5100,3.427366294478302,0.9509593088941957,2.4168440470095467,-0.891203601555136,0.5583132746936801
BMH01,s2a2b0,2,2,0,4800,5.25372571459697,0.2948789028888902,3.7386714934216116,-2.0306183993597537,-1.8914910855996363
BMH01,s2a2b1,2,2,1,4100,8.923671098508608,0.3786753801096938,5.156742677840465,-3.086823481188307,-2.8999572063867927
BMH01,s2a2b2,2,2,2,4500,6.829092597730522,1.9904307741555065,5.121755260127982,-2.2225165959304474,-0.8305934094545031
BMH02,s0a0b0,0,0,0,3900,-2.234876211133437,1.2214286168804567,0.15519248851078526,-0.45905718034800447,2.4866826314467976
BMH02,s0a0b1,0,0,1,5000,-3.028115896270362,-0.6280162890285432,-0.26923599980932394,-0.5980632962956496,1.1913104988552405
BMH02,s0a0b2,0,0,2,4600,-2.8628918890452617,-2.1322005075514974,-0.8547900238448444,-1.3595610520575598,-1.219913920257679
BMH02,s0a1b0,0,1,0,4800,-1.8265089797045493,-0.7058350768605498,-0.12689083322871142,-0.5858347455936816,0.9132563628820647
BMH02,s0a1b1,0,1,1,3800,-2.9748964144102086,1.5631643354416058,-0.5143283665684901,0.18180817612899017,3.5044607703037887
BMH02,s0a1b2,0,1,2,3100,-1.9135439506761003,2.3779403986904377,-1.252781279732463,1.2857092617804702,0.6091565670278679
BMH02,s0a2b0,0,2,0,4600,-1.462536728135243,-1.0124646324560043,-0.4516697361045411,-0.7750653358125774,0.633131865054367
BMH02,s0a2b1,0,2,1,3400,-2.56845621480823,0.04275428509054445,-1.0828970699648073,0.35692502860587794,1.4525965588744834
BMH02,s1a0b0,1,0,0,5300,-0.9674140812363554,-2.369274057712639,-1.0525387586494348,-1.5759260152473258,-2.7194475096082202
BMH02,s1a0b1,1,0,1,1600,-0.19134125840198887,0.1645583652013163,0.5185914327756171,0.13016501956519466,0.9255166118493386
BMH02,s1a0b2,1,0,2,3500,0.029401670778696116,-0.28122271252705094,0.054515165842498284,-1.1294695957495227,-1.5566199629883337
BMH02,s1a1b0,1,1,0,4800,-0.7910731940427422,1.501234441526883,0.30056385950259584,0.1451693883664447,3.42100716638799
BMH02,s1a1b1,1,1,1,4700,-1.2187580648694865,0.916771855632061,-0.8752686178312211,0.33398453429605923,1.9557399851938213
BMH02,s1a1b2,1,1,2,4500,-1.5696904562486287,-1.5098612307906056,-2.2336220260361177,1.1548597746428486,-2.453915040993151
BMH02,s1a2b0,1,2,0,5100,1.070107506855576,0.0962938601494906,1.4085806208477465,0.1751473480645586,0.503710352369729
BMH02,s1a2b1,1,2,1,3700,0.9322229457567252,2.4769741685728452,0.6421821700812386,3.033532202972947,1.8104172543596244
BMH02,s1a2b2,1,2,2,3800,-1.0986099169572023,0.08995324802291987,-1.3443201821924051,0.7522223042801471,-0.1571944703773161
BMH02,s2a0b0,2,0,0,4900,0.5553668364298465,-1.1441885078134,0.05643588100776497,-1.1931318706924836,-1.6822781403564622
BMH02,s2a0b1,2,0,1,4800,2.322811365324716,0.7505313224974607,0.7392816361565946,-0.30640537391097417,0.013714987042534004
BMH02,s2a0b2,2,0,2,5100,0.8907606695558834,-0.049771359253297835,1.092566733281629,-0.5403959738396801,-0.40268445671378206
BMH02,s2a1b0,2,1,0,5700,0.17320472731493913,-1.5705081277546047,-0.39170431141045164,-0.7460024533477905,-1.48867167427513
BMH02,s2a1b1,2,1,1,5000,4.684703521186884,2.812694514859862,3.0229924197024394,0.6665667783013202,1.2416777379216248
BMH02,s2a1b2,2,1,2,4800,2.121236297270515,0.8169595357139714,0.9141590946252351,0.9816524549685304,0.6775837247456344
BMH02,s2a2b0,2,2,0,5600,1.3508577686370216,-0.30573690504539686,-0.02516534098482033,-1.0099543109086209,-1.9337420203028657
BMH02,s2a2b1,2,2,1,5700,1.7290796292134838,-2.0402354593103595,-0.33500707812209857,0.08665060886083156,-2.3673717144718567
BMH02,s2a2b2,2,2,2,4900,5.15318533637265,1.6121027089487994,1.0390938151142834,2.575983850585265,-1.788670590315184
BMH06,s0a0b0,0,0,0,5400,-3.9257383661037806,-1.1901772213900979,-2.6069759144762403,-1.2729800482692553,0.025564551226209355
BMH06,s0a0b1,0,0,1,5200,-1.4569855535366785,-0.35390660823491527,-0.49241009627954163,-0.731174384254071,-0.5808279601378243
BMH06,s0a0b2,0,0,2,4900,-2.589105321042307,-1.3500505896566768,-1.815579397751611,-1.4249227354419125,-0.5336532870465973
BMH06,s0a1b0,0,1,0,4900,-1.0146975960921436,-0.7999384472334583,-0.3254128507295093,0.9070428900916222,-0.8476615811681721
BMH06,s0a1b1,0,1,1,4700,-3.550450532567773,-0.5584404619981169,-3.218396288741651,0.43205235296070066,1.2167771899254156
BMH06,s0a1b2,0,1,2,4100,-5.216841404239473,0.7825435913294958,-4.194423641048421,-0.7944331336610915,0.8647821774872521
BMH06,s0a2b0,0,2,0,4700,-1.0016820362706562,0.9851257193757548,-1.0339013213790769,1.9008201077992275,0.48414635262284805
BMH06,s0a2b1,0,2,1,4200,-0.7418731981757843,2.761875608587115,-0.6790022944536065,1.0697452724736578,2.775182263982499
BMH06,s0a2b2,0,2,2,4200,-2.980072084690865,1.6078540687882825,-3.4953077192663704,0.10765216265899591,3.5469718600263933
BMH06,s1a0b0,1,0,0,5000,1.1995983689225678,-0.3555859435955162,2.2072722273032506,-0.5573898479127216,-1.0184132819051168
BMH06,s1a0b1,1,0,1,5100,1.6354368374915822,-0.8213145867591767,1.7047787784681856,-0.27003070198123375,-2.475212005699005
BMH06,s1a0b2,1,0,2,4600,1.4314470786077564,-0.3662899854912702,0.9342834960761696,-0.3607496139995379,-0.8571211216769109
